NBHDNo,NBHDName,TSNS 2020 Designation,Median total income of private household in 2020 ($),Median total income of economic family in 2020 ($),Participation rate,Employment rate,Unemployment rate,"No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree (%)",No_of_Branches,No_of_Workstations,No_of_Programs,visits_2015,visits_2016,visits_2017,visits_2018,visits_2019,reg_2015,reg_2016,reg_2017,reg_2018,reg_2019,circ_2015,circ_2016,circ_2017,circ_2018,circ_2019,wrkstn_use_2015,wrkstn_use_2016,wrkstn_use_2017,wrkstn_use_2018,wrkstn_use_2019
061,Taylor Massey,Neighbourhood Improvement Area,68500,82000,63.5,51.5,18.8,14.1,24.84,61.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
062,East End Danforth,Not an NIA or Emerging Neighbourhood,90000,130000,68.5,59.7,12.9,12.01,21.02,66.97,1,9,0,116263,113091,120433,122506,122506,894,960,999,1195,1202,256372,263340,248530,242978,252545,35975,35813,32700,26001,23379
063,The Beaches,Not an NIA or Emerging Neighbourhood,116000,172000,68.4,60.9,11.0,7.37,19.44,73.19,1,12,0,185450,187288,213974,207052,207052,1546,1634,1533,1810,1887,356357,332412,314024,289818,287323,48525,45825,40875,31292,26353
064,Woodbine Corridor,Not an NIA or Emerging Neighbourhood,97000,144000,68.2,60.8,10.8,12.44,20.17,67.39,1,9,0,158113,173523,175012,169976,169976,1080,1078,1174,1314,1555,296571,302772,277410,269855,273555,37125,37150,36600,40326,36170
065,Greenwood-Coxwell,Not an NIA or Emerging Neighbourhood,93000,130000,66.8,58.8,12.0,15.04,22.69,62.27,1,8,0,94525,98279,104259,99576,99576,511,634,735,774,832,183970,187874,177571,171810,167483,25863,23825,24038,16717,16283
066,Danforth,Not an NIA or Emerging Neighbourhood,98000,149000,65.1,57.4,12.0,14.41,21.48,64.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
067,Playter Estates-Danforth,Not an NIA or Emerging Neighbourhood,87000,152000,66.2,57.0,14.0,10.62,18.21,71.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
068,North Riverdale,Not an NIA or Emerging Neighbourhood,108000,160000,66.8,60.6,9.1,10.94,16.04,72.96,1,18,0,198713,195261,194268,180916,180916,881,976,914,1322,1466,281348,265073,238778,223472,225704,73775,70700,71813,45729,44200
069,Blake-Jones,Not an NIA or Emerging Neighbourhood,86000,119000,64.4,55.8,13.4,16.09,22.45,61.46,1,14,0,229683,236930,233308,230567,230567,1449,1723,1645,2249,2105,425823,419428,386965,374726,359576,75404,74158,59407,60571,49103
070,South Riverdale,Not an NIA or Emerging Neighbourhood,100000,137000,72.7,63.2,13.0,14.45,18.63,66.92,2,13,0,134700,148879,152194,147201,147201,1096,1291,1240,1519,1618,299554,302847,281005,271577,258702,36988,35138,32351,32491,25453
