NBHDNo,NBHDName,Year,No_of_Visits,No_of_Registrations,Count_of_Circulation,No_of_Sessions
107,Oakwood Village,2018,315461.0,2607,334933,103431
107,Oakwood Village,2019,309523.0,2758,320524,98974
110,Keelesdale-Eglinton West,2015,52900.0,524,81207,34325
110,Keelesdale-Eglinton West,2016,47549.0,548,79388,30325
110,Keelesdale-Eglinton West,2017,48477.0,573,67336,25888
110,Keelesdale-Eglinton West,2018,46693.0,605,62447,13481
110,Keelesdale-Eglinton West,2019,43655.0,731,64150,12828
113,Weston,2015,89225.0,979,135560,46263
113,Weston,2016,99950.0,1027,135040,41188
113,Weston,2017,92943.0,1067,128443,37813
113,Weston,2018,91230.0,1279,116159,26060
113,Weston,2019,93178.0,1518,108961,26812
115,Mount Dennis,2015,80588.0,728,111864,55913
115,Mount Dennis,2016,84210.0,804,106395,55175
115,Mount Dennis,2017,88386.0,821,108609,53466
115,Mount Dennis,2018,80819.0,912,104754,36451
115,Mount Dennis,2019,77877.0,1027,89270,31430
116,Steeles,2015,161988.0,1052,267333,34800
116,Steeles,2016,168942.0,1004,256926,34700
116,Steeles,2017,156659.0,897,238620,31163
116,Steeles,2018,55838.0,898,114108,14624
116,Steeles,2019,162606.0,1570,198868,36129
118,Tam O'Shanter-Sullivan,2015,397421.0,2919,843672,158536
118,Tam O'Shanter-Sullivan,2016,313157.0,2318,712014,103406
118,Tam O'Shanter-Sullivan,2017,326233.0,2538,621226,134675
118,Tam O'Shanter-Sullivan,2018,368837.0,3658,623148,112149
118,Tam O'Shanter-Sullivan,2019,356784.0,3404,562590,110006
119,Wexford/Maryvale,2015,167575.0,1181,224525,32938
119,Wexford/Maryvale,2016,203955.0,1266,207891,34313
119,Wexford/Maryvale,2017,157983.0,1158,187741,33900
119,Wexford/Maryvale,2018,137412.0,1538,162654,34992
119,Wexford/Maryvale,2019,126402.0,1505,148594,32754
120,Clairlea-Birchmount,2015,479668.0,2846,629731,183634
120,Clairlea-Birchmount,2016,417103.0,2311,487976,168387
120,Clairlea-Birchmount,2017,487687.0,2991,461852,174396
120,Clairlea-Birchmount,2018,591711.0,4435,508502,138517
120,Clairlea-Birchmount,2019,490856.0,4151,422459,109797
122,Birchcliffe-Cliffside,2015,41388.0,421,127191,18588
122,Birchcliffe-Cliffside,2016,40691.0,401,115914,14738
122,Birchcliffe-Cliffside,2017,35466.0,343,94731,13329
122,Birchcliffe-Cliffside,2018,34784.0,497,104908,8594
122,Birchcliffe-Cliffside,2019,26401.0,545,103046,8422
123,Cliffcrest,2015,79300.0,659,173302,18638
123,Cliffcrest,2016,69148.0,789,164321,19413
123,Cliffcrest,2017,65757.0,725,142382,16188
123,Cliffcrest,2018,65876.0,963,137460,14475
123,Cliffcrest,2019,67906.0,1074,155449,14182
125,Ionview,2015,110675.0,1391,188001,37925
125,Ionview,2016,87203.0,1337,172424,36150
125,Ionview,2017,92895.0,1547,155073,39175
125,Ionview,2018,81014.0,1492,130416,29139
125,Ionview,2019,75312.0,1568,122499,27027
126,Dorset Park,2015,125177.0,1287,217638,42142
126,Dorset Park,2016,134570.0,1259,196526,37741
126,Dorset Park,2017,127230.0,1368,176865,36807
126,Dorset Park,2018,122591.0,1542,158704,30641
126,Dorset Park,2019,120802.0,1680,152135,29609
129,Agincourt North,2015,405225.0,2005,412778,106963
129,Agincourt North,2016,441229.0,2000,387621,101650
129,Agincourt North,2017,402862.0,2046,340490,97263
129,Agincourt North,2018,373195.0,2387,312597,75752
129,Agincourt North,2019,362674.0,2341,290873,72288
130,Milliken,2015,179312.0,777,264751,49572
