NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits,Registrations,Circulation,Sessions
165,Harbourfront-CityPlace,FO,Fort York,2014,96613.0,3651,132189,24150.0
044,Flemingdon Park,FP,Flemingdon Park,2014,146247.0,1002,153730,51997.0
047,Don Valley Village,FV,Fairview,2014,191404.0,5568,697775,167961.0
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2014,95775.0,579,182103,23425.0
130,Milliken,GHP,Goldhawk Park,2014,202833.0,862,286301,50442.0
140,Guildwood,GW,Guildwood,2014,45950.0,403,124727,12138.0
016,Stonegate-Queensway,HB,Humber Bay,2014,66263.0,614,181224,8900.0
134,Highland Creek,HC,Highland Creek,2014,81538.0,796,192057,24713.0
048,Hillcrest Village,HIL,Hillcrest,2014,128975.0,912,363547,31088.0
087,High Park-Swansea,HP,High Park,2014,194450.0,1224,334554,44950.0
021,Humber Summit,HS,Humber Summit,2014,49413.0,493,78459,31213.0
001,West Humber-Clairville,HW,Humberwood,2014,161325.0,468,90607,34175.0
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2014,158938.0,1488,285210,71413.0
070,South Riverdale,JO,Jones,2014,80275.0,680,178808,28863.0
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2014,94250.0,1099,128740,48763.0
125,Ionview,KE,Kennedy/Eglinton,2014,106838.0,1323,194291,39188.0
019,Long Branch,LB,Long Branch,2014,55625.0,783,138562,22363.0
056,Leaside-Bennington,LE,Leaside,2014,144900.0,1147,362819,23925.0
103,Lawrence Park South,LO,Locke,2014,179275.0,1577,347441,40625.0
078,Kensington-Chinatown,LS,Lillian H. Smith,2014,352151.0,3243,431178,183539.0
062,East End-Danforth,MA,Main Street,2014,123450.0,852,252997,38513.0
146,Malvern East,MAL,Malvern,2014,347883.0,2728,442761,175932.0
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2014,197358.0,1794,232861,128615.0
126,Dorset Park,MCG,McGregor Park,2014,123663.0,1351,234554,44396.0
115,Mount Dennis,MD,Mount Dennis,2014,82625.0,798,114802,64538.0
