NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits
087,High Park-Swansea,HP,High Park,2013,235163
021,Humber Summit,HS,Humber Summit,2013,48263
001,West Humber-Clairville,HW,Humberwood,2013,212738
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2013,168775
070,South Riverdale,JO,Jones,2013,75250
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2013,115425
125,Ionview,KE,Kennedy/Eglinton,2013,117338
019,Long Branch,LB,Long Branch,2013,54113
056,Leaside-Bennington,LE,Leaside,2013,160863
103,Lawrence Park South,LO,Locke,2013,179513
078,Kensington-Chinatown,LS,Lillian H. Smith,2013,354888
062,East End-Danforth,MA,Main Street,2013,107346
146,Malvern East,MAL,Malvern,2013,385150
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2013,208021
126,Dorset Park,MCG,McGregor Park,2013,128400
115,Mount Dennis,MD,Mount Dennis,2013,57388
160,Mimico-Queensway,MI,Mimico Centennial,2013,83468
099,Mount Pleasant East,MP,Mount Pleasant,2013,72363
119,Wexford-Maryvale,MRV,Maryvale,2013,150788
136,West Hill,MS,Morningside,2013,135475
100,Yonge-Eglinton,ND,Northern District,2013,328400
001,West Humber-Clairville,NE,Northern Elms,2013,41188
018,New Toronto,NT,New Toronto,2013,88600
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2013,84013
069,Blake-Jones,PA,Pape/Danforth,2013,257275
171,Junction-Wallace Emerson,PE,Perth/Dupont,2013,40100
085,South Parkdale,PK,Parkdale,2013,345738
073,Moss Park,PL,Parliament Street,2013,208063
095,Annex,PM,Palmerston,2013,115625
133,Centennial Scarborough,PU,Port Union,2013,127775
046,Pleasant View,PV,Pleasant View,2013,186250
070,South Riverdale,QS,Queen/Saulter,2013,70725
068,North Riverdale,RD,Riverdale,2013,226400
007,Willowridge-Martingrove-Richview,RI,Richview,2013,409390
088,High Park North,RN,Runnymede,2013,283238
004,Rexdale-Kipling,RX,Rexdale,2013,46325
078,Kensington-Chinatown,SA,Sanderson,2013,290300
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2013,31100
074,North St. James Town,SJ,St. James Town,2013,192963
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2013,114900
095,Annex,SP,Spadina Road,2013,78583
116,Steeles,ST,Steeles,2013,160538
087,High Park-Swansea,SW,Swansea Memorial,2013,19688
059,Danforth Village - East York,SWS,S. Walter Stewart,2013,262125
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2013,36375
055,Thorncliffe Park,TH,Thorncliffe,2013,203338
058,Old East York,TOD,Todmorden Room,2013,17500
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2013,1226659
043,Victoria Village,VV,Victoria Village,2013,41950
113,Weston,WE,Weston,2013,87500
022,Humbermede,WP,Woodview Park,2013,30575
129,Agincourt North,WS,Woodside Square,2013,471800
096,Casa Loma,WY,Wychwood,2013,114613
095,Annex,YO,Yorkville,2013,191050
025,Glenfield-Jane Heights,YW,York Woods,2013,208388
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2014,401819
120,Clairlea-Birchmount,ACD,Albert Campbell,2014,285428
020,Alderwood,AD,Alderwood,2014,102875
118,Tam O'Shanter-Sullivan,AG,Agincourt,2014,424457
039,Bedford Park-Nortown,AH,Armour Heights,2014,67675
090,Junction Area,AN,Annette Street,2014,95263
030,Brookhaven-Amesbury,AP,Amesbury Park,2014,56313
150,Fenside-Parkwoods,BB,Brookbanks,2014,93375
154,Oakdale-Beverley Heights,BC,Black Creek,2014,91963
157,Bendale South,BD,Bendale,2014,72650
063,The Beaches,BE,Beaches,2014,186600
032,Englemount-Lawrence,BF,Barbara Frum,2014,356077
083,Dufferin Grove,BL,Bloor/Gladstone,2014,355250
015,Kingsway South,BR,Brentwood,2014,234008
147,L'Amoreaux West,BRW,Bridlewood,2014,420963
146,Malvern East,BUR,Burrows Hall,2014,107200
123,Cliffcrest,CC,Cliffcrest,2014,80175
035,Westminster-Branson,CE,Centennial,2014,125613
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2014,366123
170,Yonge-Bay Corridor,CH,City Hall,2014,201288
037,Willowdale West,CL,North York Central Library,2014,1561767
080,Palmerston-Little Italy,CS,College/Shaw,2014,112413
064,Woodbine Corridor,DA,Danforth/Coxwell,2014,146013
042,Banbury-Don Mills,DM,Don Mills,2014,280151
155,Downsview,DO,Downsview,2014,168733
098,Rosedale-Moore Park,DP,Deer Park,2014,275813
054,O'Connor-Parkview,DR,Dawes Road,2014,121325
094,Wychwood,DT,Davenport,2014,42150
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2014,106788
158,Islington,EA,Eatonville,2014,223854
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2014,49750
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2014,56200
052,Bayview Village,EN,Ethennonnhawahstihnen',2014,146697
120,Clairlea-Birchmount,ES,Eglinton Square,2014,205025
102,Forest Hill North,FH,Forest Hill,2014,93575
165,Harbourfront-CityPlace,FO,Fort York,2014,96613
044,Flemingdon Park,FP,Flemingdon Park,2014,146247
047,Don Valley Village,FV,Fairview,2014,191404
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2014,95775
130,Milliken,GHP,Goldhawk Park,2014,202833
140,Guildwood,GW,Guildwood,2014,45950
016,Stonegate-Queensway,HB,Humber Bay,2014,66263
134,Highland Creek,HC,Highland Creek,2014,81538
048,Hillcrest Village,HIL,Hillcrest,2014,128975
087,High Park-Swansea,HP,High Park,2014,194450
021,Humber Summit,HS,Humber Summit,2014,49413
