NBHDNo,NBHDName,BranchCode,BranchName,Year,Registrations
021,Humber Summit,HS,Humber Summit,2015,457
001,West Humber-Clairville,HW,Humberwood,2015,510
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2015,1202
070,South Riverdale,JO,Jones,2015,659
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2015,1065
125,Ionview,KE,Kennedy/Eglinton,2015,1391
019,Long Branch,LB,Long Branch,2015,663
056,Leaside-Bennington,LE,Leaside,2015,1135
103,Lawrence Park South,LO,Locke,2015,1526
078,Kensington-Chinatown,LS,Lillian H. Smith,2015,3219
062,East End-Danforth,MA,Main Street,2015,894
146,Malvern East,MAL,Malvern,2015,2219
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2015,1790
126,Dorset Park,MCG,McGregor Park,2015,1287
115,Mount Dennis,MD,Mount Dennis,2015,728
160,Mimico-Queensway,MI,Mimico Centennial,2015,846
099,Mount Pleasant East,MP,Mount Pleasant,2015,546
119,Wexford-Maryvale,MRV,Maryvale,2015,1181
136,West Hill,MS,Morningside,2015,1005
100,Yonge-Eglinton,ND,Northern District,2015,2466
001,West Humber-Clairville,NE,Northern Elms,2015,354
018,New Toronto,NT,New Toronto,2015,517
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2015,509
069,Blake-Jones,PA,Pape/Danforth,2015,1449
171,Junction-Wallace Emerson,PE,Perth/Dupont,2015,245
085,South Parkdale,PK,Parkdale,2015,1960
073,Moss Park,PL,Parliament Street,2015,1564
095,Annex,PM,Palmerston,2015,813
133,Centennial Scarborough,PU,Port Union,2015,843
046,Pleasant View,PV,Pleasant View,2015,482
070,South Riverdale,QS,Queen/Saulter,2015,437
068,North Riverdale,RD,Riverdale,2015,881
007,Willowridge-Martingrove-Richview,RI,Richview,2015,2841
088,High Park North,RN,Runnymede,2015,1833
004,Rexdale-Kipling,RX,Rexdale,2015,400
078,Kensington-Chinatown,SA,Sanderson,2015,1073
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2015,2242
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2015,284
074,North St. James Town,SJ,St. James Town,2015,1427
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2015,1278
095,Annex,SP,Spadina Road,2015,737
116,Steeles,ST,Steeles,2015,1052
