NBHDNo,NBHDName,BranchCode,BranchName,Year,Circulation
074,North St. James Town,SJ,St. James Town,2015,258692
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2015,192194
095,Annex,SP,Spadina Road,2015,180851
116,Steeles,ST,Steeles,2015,267333
087,High Park-Swansea,SW,Swansea Memorial,2015,46684
059,Danforth Village - East York,SWS,S. Walter Stewart,2015,415562
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2015,127191
055,Thorncliffe Park,TH,Thorncliffe,2015,192845
058,Old East York,TOD,Todmorden Room,2015,59787
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2015,412943
043,Victoria Village,VV,Victoria Village,2015,106014
113,Weston,WE,Weston,2015,135560
022,Humbermede,WP,Woodview Park,2015,77281
129,Agincourt North,WS,Woodside Square,2015,412778
096,Casa Loma,WY,Wychwood,2015,235971
095,Annex,YO,Yorkville,2015,319571
025,Glenfield-Jane Heights,YW,York Woods,2015,246340
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2016,300607
120,Clairlea-Birchmount,ACD,Albert Campbell,2016,360510
020,Alderwood,AD,Alderwood,2016,164877
118,Tam O'Shanter-Sullivan,AG,Agincourt,2016,712014
039,Bedford Park-Nortown,AH,Armour Heights,2016,193515
090,Junction Area,AN,Annette Street,2016,223409
030,Brookhaven-Amesbury,AP,Amesbury Park,2016,106771
150,Fenside-Parkwoods,BB,Brookbanks,2016,166907
154,Oakdale-Beverley Heights,BC,Black Creek,2016,103621
157,Bendale South,BD,Bendale,2016,141482
063,The Beaches,BE,Beaches,2016,332412
032,Englemount-Lawrence,BF,Barbara Frum,2016,546283
083,Dufferin Grove,BL,Bloor/Gladstone,2016,410988
015,Kingsway South,BR,Brentwood,2016,420952
147,L'Amoreaux West,BRW,Bridlewood,2016,420243
146,Malvern East,BUR,Burrows Hall,2016,155738
123,Cliffcrest,CC,Cliffcrest,2016,164321
035,Westminster-Branson,CE,Centennial,2016,276142
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2016,485383
170,Yonge-Bay Corridor,CH,City Hall,2016,337178
037,Willowdale West,CL,North York Central Library,2016,1322318
080,Palmerston-Little Italy,CS,College/Shaw,2016,190775
064,Woodbine Corridor,DA,Danforth/Coxwell,2016,302772
042,Banbury-Don Mills,DM,Don Mills,2016,619014
155,Downsview,DO,Downsview,2016,210675
098,Rosedale-Moore Park,DP,Deer Park,2016,413421
054,O'Connor-Parkview,DR,Dawes Road,2016,197789
094,Wychwood,DT,Davenport,2016,125999
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2016,145940
158,Islington,EA,Eatonville,2016,508926
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2016,149823
