NBHDNo,NBHDName,TSNS 2020 Designation,Total - Income statistics for private households - 25% sample data,Median total income of private household in 2020 ($),Total - Income statistics for economic families in private households - 25% sample data,Median total income of economic family in 2020 ($),Participation rate,Employment rate,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","No certificate, diploma or degree","No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate,High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree","Postsecondary certificate, diploma or degree (%)"
130,Milliken,Not an NIA or Emerging Neighbourhood,7585,81000,6480,83000,51.3,41.5,20760,5440,26.2,6285,30.27,9035,43.52
133,Centennial Scarborough,Not an NIA or Emerging Neighbourhood,4420,134000,3795,149000,61.0,53.9,11240,1085,9.65,2870,25.53,7285,64.81
134,Highland Creek,Not an NIA or Emerging Neighbourhood,3795,120000,3215,129000,59.1,50.2,11145,1330,11.93,3320,29.79,6490,58.23
135,Morningside,Neighbourhood Improvement Area,5880,85000,4520,96000,60.0,50.5,14740,2170,14.72,4305,29.21,8260,56.04
136,West Hill,Neighbourhood Improvement Area,10175,76000,7050,95000,57.4,47.7,23670,4060,17.15,7270,30.71,12335,52.11
138,Eglinton East,Neighbourhood Improvement Area,8190,73500,5880,85000,58.2,48.3,18755,3585,19.11,5550,29.59,9620,51.29
139,Scarborough Village,Neighbourhood Improvement Area,5955,71500,4220,85000,56.8,46.7,13415,2525,18.82,3840,28.62,7050,52.55
140,Guildwood,Not an NIA or Emerging Neighbourhood,3935,102000,2765,126000,58.0,50.2,8350,945,11.32,2050,24.55,5365,64.25
141,Golfdale-Cedarbrae-Woburn,Neighbourhood Improvement Area (formerly Woburn),8835,77000,6635,88000,57.4,47.8,22150,4620,20.86,6460,29.16,11065,49.95
142,Woburn North,Neighbourhood Improvement Area (formerly Woburn),9825,74500,7015,88000,60.1,50.5,22570,3665,16.24,5950,26.36,12955,57.4
143,West Rouge,Not an NIA or Emerging Neighbourhood,7025,108000,5625,124000,60.4,51.7,17660,1915,10.84,4720,26.73,11025,62.43
144,Morningside Heights,Not an NIA or Emerging Neighbourhood,6535,117000,5975,120000,63.3,53.9,20860,4140,19.85,6420,30.78,10305,49.4
145,Malvern West,Emerging Neighbourhood,5115,88000,4295,92000,61.3,50.6,14485,2610,18.02,4370,30.17,7510,51.85
146,Malvern East,Emerging Neighbourhood,8560,85000,6780,97000,59.3,49.7,22180,3980,17.94,6645,29.96,11555,52.1
147,L'Amoreaux West,Emerging Neighbourhood,8295,72500,5855,92000,54.1,45.6,18820,3345,17.77,4955,26.33,10520,55.9
148,East L'Amoreaux,Emerging Neighbourhood,7205,85000,5875,89000,55.5,45.5,18585,3670,19.75,5245,28.22,9660,51.98
149,Parkwoods-O'Connor Hills,Not an NIA or Emerging Neighbourhood,5055,98000,3895,110000,62.1,52.0,11675,1625,13.92,2765,23.68,7290,62.44
150,Fenside-Parkwoods,Not an NIA or Emerging Neighbourhood,8150,78000,5570,89000,64.0,53.9,17490,2375,13.58,4680,26.76,10435,59.66
151,Yonge-Doris,Not an NIA or Emerging Neighbourhood,9845,73000,5670,86000,63.1,55.0,17990,1040,5.78,3040,16.9,13910,77.32
152,East Willowdale,Not an NIA or Emerging Neighbourhood,5615,95000,4260,113000,56.6,48.9,13280,1140,8.58,2755,20.75,9390,70.71
153,Avondale,Not an NIA or Emerging Neighbourhood,7000,84000,3835,104000,71.2,63.0,12245,500,4.08,1785,14.58,9965,81.38
154,Oakdale-Beverley Heights,Neighbourhood Improvement Area (formerly Downsview-Roding-CFB),7655,71500,5490,87000,61.2,50.8,17625,4760,27.01,5730,32.51,7130,40.45
155,Downsview,Neighbourhood Improvement Area (formerly Downsview-Roding-CFB),6975,82000,4895,99000,64.6,55.2,15410,3190,20.7,4025,26.12,8195,53.18
156,Bendale-Glen Andrew,Not an NIA or Emerging Neighbourhood,7415,74500,4895,92000,58.0,49.4,16075,2480,15.43,4360,27.12,9230,57.42
157,Bendale South,Not an NIA or Emerging Neighbourhood,3355,90000,2675,97000,58.9,49.9,9110,1620,17.78,2705,29.69,4790,52.58
158,Islington,Not an NIA or Emerging Neighbourhood,9285,102000,6645,125000,62.9,54.7,20035,2240,11.18,4660,23.26,13125,65.51
159,Etobicoke City Centre,Not an NIA or Emerging Neighbourhood,11925,83000,6455,106000,73.5,65.4,20810,1825,8.77,3955,19.01,15035,72.25
160,Mimico-Queensway,Not an NIA or Emerging Neighbourhood,7875,84000,4565,125000,68.9,60.9,14650,1960,13.38,3105,21.19,9590,65.46
